resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname
22466,915,4,6,14,7,6,6,6,8,53,+1:00.016,5570760,53,6,01:42.2,206.038,1,ALO,Fernando,Alonso
22467,915,817,9,3,6,7,7,7,6,53,+1:01.812,5572556,50,13,01:43.1,204.296,1,RIC,Daniel,Ricciardo
22468,915,20,9,1,10,8,8,8,4,53,+1:06.185,5576929,53,8,01:42.6,205.133,1,VET,Sebastian,Vettel
22469,915,8,6,7,8,9,9,9,2,53,+1:18.877,5589621,45,11,01:42.9,204.556,1,RAI,Kimi,Räikkönen
22470,915,815,10,11,12,10,10,10,1,53,+1:20.067,5590811,47,12,01:42.9,204.547,1,PER,Sergio,Pérez
22471,915,13,3,19,18,11,11,11,0,53,+1:20.877,5591621,47,10,01:42.9,204.636,1,MAS,Felipe,Massa
22472,915,807,10,27,17,12,12,12,0,53,+1:21.309,5592053,50,9,01:42.7,205.023,1,HUL,Nico,Hülkenberg
22473,915,818,5,25,9,13,13,13,0,53,+1:37.295,5608039,53,7,01:42.5,205.293,1,VER,Jean-Éric,Vergne
22482,916,1,131,44,2,1,1,1,25,56,40:04.8,6004785,49,4,01:41.9,194.712,1,HAM,Lewis,Hamilton
22483,916,3,131,6,1,2,2,2,18,56,4.314,6009099,48,5,01:41.9,194.706,1,ROS,Nico,Rosberg
22484,916,817,9,3,5,3,3,3,15,56,25.56,6030345,33,7,01:42.8,193.004,1,RIC,Daniel,Ricciardo
22485,916,13,3,19,4,4,4,4,12,56,26.924,6031709,50,9,01:43.0,192.741,1,MAS,Felipe,Massa
22486,916,822,3,77,3,5,5,5,10,56,30.992,6035777,55,6,01:42.5,193.617,1,BOT,Valtteri,Bottas
22487,916,4,6,14,6,6,6,6,8,56,+1:35.231,6100016,47,2,01:41.5,195.585,1,ALO,Fernando,Alonso
22488,916,20,9,1,18,7,7,7,6,56,+1:35.734,6100519,50,1,01:41.4,195.768,1,VET,Sebastian,Vettel
22489,916,825,1,20,7,8,8,8,4,56,+1:40.682,6105467,29,14,01:44.3,190.309,1,MAG,Kevin,Magnussen
22490,916,818,5,25,14,10,10,10,1,56,+1:48.863,6113648,17,12,01:44.2,190.504,1,VER,Jean-Éric,Vergne
22491,916,813,208,13,10,9,9,9,2,56,+1:47.870,6112655,38,11,01:43.8,191.187,1,MAL,Pastor,Maldonado
22500,917,3,131,6,1,1,1,1,25,71,30:02.6,5402555,62,2,01:13.6,210.711,1,ROS,Nico,Rosberg
22501,917,1,131,44,2,2,2,2,18,71,1.457,5404012,62,1,01:13.6,210.895,1,HAM,Lewis,Hamilton
22502,917,13,3,19,3,3,3,3,15,71,41.031,5443586,59,7,01:14.1,209.341,1,MAS,Felipe,Massa
22503,917,18,1,22,5,4,4,4,12,71,48.658,5451213,68,4,01:14.0,209.629,1,BUT,Jenson,Button
22504,917,20,9,1,6,5,5,5,10,71,51.42,5453975,68,5,01:14.0,209.576,1,VET,Sebastian,Vettel
22505,917,4,6,14,8,6,6,6,8,71,+1:01.906,5464461,55,10,01:14.3,208.744,1,ALO,Fernando,Alonso
22506,917,8,6,7,10,7,7,7,6,71,+1:03.730,5466285,37,17,01:15.0,206.934,1,RAI,Kimi,Räikkönen
22507,917,807,10,27,12,8,8,8,4,71,+1:03.934,5466489,70,3,01:13.7,210.4,1,HUL,Nico,Hülkenberg
